ID,Name,Description,force,flavor
0,weak.reportative,,weak,reportative
1,weak.deontic,,weak,deontic
2,strong.reportative,,strong,reportative
3,strong.deontic,,strong,deontic
4,weak.circumstantial,,weak,circumstantial
5,strong.circumstantial,,strong,circumstantial
6,weak.epistemic,,weak,epistemic
7,strong.epistemic,,strong,epistemic
